Below 0.5,OTHERS,9,KHAMMAM,92362,26551,18677,9709,28386
Below 0.5,OTHERS,10,SRIKAKULAM,270668,63781,47664,35327,82990
Below 0.5,OTHERS,11,VIZIANAGARAM,213638,48037,29308,27928,57236
Below 0.5,OTHERS,12,VISAKHAPATNAM,219266,51993,34832,20458,55290
Below 0.5,OTHERS,13,EAST GODAVARI,360241,89144,111917,29797,141714
Below 0.5,OTHERS,14,WEST GODAVARI,257762,69196,109019,2982,112001
Below 0.5,OTHERS,15,KRISHNA,215688,61230,60677,34612,95289
Below 0.5,OTHERS,16,GUNTUR,283640,84223,69467,40575,110041
Below 0.5,OTHERS,17,PRAKASAM,175366,50662,14933,31379,46312
Below 0.5,OTHERS,18,NELLORE,130240,34378,32738,4055,36793
Below 0.5,OTHERS,19,KADAPA,105204,29988,16380,9022,25403
Below 0.5,OTHERS,20,KURNOOL,99234,31717,14577,17441,32019
Below 0.5,OTHERS,21,ANANTHAPUR,88872,27405,4801,19434,24236
Below 0.5,OTHERS,22,CHITTOOR,222355,57027,16933,20937,37870
Below 0.5,SCHEDULED TRIBES,1,ADILABAD,18221,5142,826,3774,4601
Below 0.5,SCHEDULED TRIBES,2,NIZAMABAD,13086,4026,3916,1354,5270
Below 0.5,SCHEDULED TRIBES,3,KARIMNAGAR,7879,2178,1164,776,1940
Below 0.5,SCHEDULED TRIBES,4,MEDAK,10735,3088,839,1592,2431
Below 0.5,SCHEDULED TRIBES,5,RANGAREDDY,8541,2593,686,1053,1739
Below 0.5,SCHEDULED TRIBES,6,MAHABUBNAGAR,29640,8141,1422,4376,5798
Below 0.5,SCHEDULED TRIBES,7,NALGONDA,29377,8601,5139,1787,6925
Below 0.5,SCHEDULED TRIBES,8,WARANGAL,41606,11120,6567,4211,10777
Below 0.5,SCHEDULED TRIBES,9,KHAMMAM,51817,15218,6092,8939,15031
Below 0.5,SCHEDULED TRIBES,10,SRIKAKULAM,17337,4479,1682,2518,4201
Below 0.5,SCHEDULED TRIBES,11,VIZIANAGARAM,16594,4372,985,3364,4349
Below 0.5,SCHEDULED TRIBES,12,VISAKHAPATNAM,29040,7853,2928,4824,7751
Below 0.5,SCHEDULED TRIBES,13,EAST GODAVARI,10200,2756,1598,1138,2736
Below 0.5,SCHEDULED TRIBES,14,WEST GODAVARI,8225,2367,1896,692,2588
Below 0.5,SCHEDULED TRIBES,15,KRISHNA,6829,1945,1298,817,2116
Below 0.5,SCHEDULED TRIBES,16,GUNTUR,8164,2447,1814,969,2783
Below 0.5,SCHEDULED TRIBES,17,PRAKASAM,5743,1724,553,893,1445
Below 0.5,SCHEDULED TRIBES,18,NELLORE,15233,4040,3722,525,4247
Below 0.5,SCHEDULED TRIBES,19,KADAPA,2865,833,360,206,566
Below 0.5,SCHEDULED TRIBES,20,KURNOOL,2865,921,399,497,895
Below 0.5,SCHEDULED TRIBES,21,ANANTHAPUR,4431,1429,146,1106,1252
Below 0.5,SCHEDULED TRIBES,22,CHITTOOR,7092,2022,675,623,1298
Below 0.5,ALL SOCIAL GROUPS,1,ADILABAD,144024,37457,9185,24577,33762
Below 0.5,ALL SOCIAL GROUPS,2,NIZAMABAD,189151,51936,45837,18732,64569
Below 0.5,ALL SOCIAL GROUPS,3,KARIMNAGAR,274368,71226,50901,18683,69584
Below 0.5,ALL SOCIAL GROUPS,4,MEDAK,289341,70477,18376,36431,54807
Below 0.5,ALL SOCIAL GROUPS,5,RANGAREDDY,107339,30551,6717,9282,15999
Below 0.5,ALL SOCIAL GROUPS,6,MAHABUBNAGAR,324726,83602,16430,45143,61573
Below 0.5,ALL SOCIAL GROUPS,7,NALGONDA,256198,69226,42091,15941,58032
Below 0.5,ALL SOCIAL GROUPS,8,WARANGAL,280779,70536,41806,23428,65234
Below 0.5,ALL SOCIAL GROUPS,9,KHAMMAM,170114,48535,29139,21398,50536
Below 0.5,ALL SOCIAL GROUPS,10,SRIKAKULAM,308866,72753,52447,40686,93133
Below 0.5,ALL SOCIAL GROUPS,11,VIZIANAGARAM,244848,55780,31861,33551,65412
Below 0.5,ALL SOCIAL GROUPS,12,VISAKHAPATNAM,254854,61546,38829,26025,64853
Below 0.5,ALL SOCIAL GROUPS,13,EAST GODAVARI,421667,102491,124917,35706,160622
Below 0.5,ALL SOCIAL GROUPS,14,WEST GODAVARI,299108,79758,122028,4238,126266
Below 0.5,ALL SOCIAL GROUPS,15,KRISHNA,257268,71639,69072,40284,109356
Below 0.5,ALL SOCIAL GROUPS,16,GUNTUR,325972,95713,78225,45981,124206
Below 0.5,ALL SOCIAL GROUPS,17,PRAKASAM,214682,61716,17953,37821,55774
Below 0.5,ALL SOCIAL GROUPS,18,NELLORE,198408,51866,48706,6049,54755
Below 0.5,ALL SOCIAL GROUPS,19,KADAPA,123309,35264,19024,10326,29350
Below 0.5,ALL SOCIAL GROUPS,20,KURNOOL,123253,39479,18273,21622,39895
Below 0.5,ALL SOCIAL GROUPS,21,ANANTHAPUR,108569,33680,5644,24160,29804
Below 0.5,ALL SOCIAL GROUPS,22,CHITTOOR,278390,71547,22016,25810,47826
1.0-2.0,SCHEDULED CASTE,1,ADILABAD,18917,26616,3263,20659,23922
1.0-2.0,SCHEDULED CASTE,2,NIZAMABAD,10813,14520,11983,7968,19951
1.0-2.0,SCHEDULED CASTE,3,KARIMNAGAR,13973,18940,14328,5567,19894
1.0-2.0,SCHEDULED CASTE,4,MEDAK,18593,25236,7035,15290,22325
1.0-2.0,SCHEDULED CASTE,5,RANGAREDDY,12105,16722,2238,8313,10551
1.0-2.0,SCHEDULED CASTE,6,MAHABUBNAGAR,27944,39005,7649,27772,35421
1.0-2.0,SCHEDULED CASTE,7,NALGONDA,14990,20554,8186,8521,16708
1.0-2.0,SCHEDULED CASTE,8,WARANGAL,11507,15694,9313,4935,14247
1.0-2.0,SCHEDULED CASTE,9,KHAMMAM,5748,7799,4355,3852,8207
1.0-2.0,SCHEDULED CASTE,10,SRIKAKULAM,1542,2017,982,1098,2080
1.0-2.0,SCHEDULED CASTE,11,VIZIANAGARAM,2076,2796,1009,1816,2825
1.0-2.0,SCHEDULED CASTE,12,VISAKHAPATNAM,1129,1543,745,754,1499
1.0-2.0,SCHEDULED CASTE,13,EAST GODAVARI,2743,3682,3419,1638,5056
1.0-2.0,SCHEDULED CASTE,14,WEST GODAVARI,4469,6090,7796,238,8034
