A & N ISLANDS,SOUTH ANDAMAN,OTHERS,1.0-2.0,3,LITTLE ANDAMAN,47,71,0,796,796
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,1.0-2.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,1.0-2.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,1.0-2.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,1.0-2.0,1,FERRARGUNJ,826,1172,0,808,808
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,1.0-2.0,2,PORT BLAIR,444,674,0,808,808
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,1.0-2.0,3,LITTLE ANDAMAN,47,71,0,808,808
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,0.5-1.0,1,FERRARGUNJ,6,5,0,1,1
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,0.5-1.0,2,PORT BLAIR,7,6,0,1,1
A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,0.5-1.0,3,LITTLE ANDAMAN,0,0,0,1,1
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,0.5-1.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,0.5-1.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,0.5-1.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,0.5-1.0,1,FERRARGUNJ,374,279,0,201,201
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,0.5-1.0,2,PORT BLAIR,673,560,0,201,201
A & N ISLANDS,SOUTH ANDAMAN,OTHERS,0.5-1.0,3,LITTLE ANDAMAN,35,28,0,201,201
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,0.5-1.0,1,FERRARGUNJ,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,0.5-1.0,2,PORT BLAIR,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,0.5-1.0,3,LITTLE ANDAMAN,0,0,0,0,0
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,0.5-1.0,1,FERRARGUNJ,380,284,0,202,202
A & N ISLANDS,SOUTH ANDAMAN,ALL SOCIAL GROUPS,0.5-1.0,2,PORT BLAIR,680,566,0,202,202
