size_class,social_group,state_name,state_code,district_name,district_code,total_holdings_no,total_holdings_area,gross_cropped_area_irrigated,gross_cropped_area_unirrigated,gross_cropped_area_total
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,2350,2930,0,3265,3265
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,5040,6180,0,6901,6901
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,525,720,0,955,955
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,65,65,0,83,83
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,6780,7600,0,9897,9897
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,2000,2115,0,2407,2407
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,130,160,78,120,198
1.0-2.0,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,5045,7120,0,7965,7965
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,BISHNUPUR,275,6000,10025,4672,7779,12451
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,CHANDEL,280,2350,2930,0,3265,3265
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,CHURACHANDPUR,274,5040,6180,0,6901,6901
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL EAST,278,6280,8060,711,11035,11745
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL WEST,277,5825,6725,489,6902,7391
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,SENAPATI,272,6780,7600,0,9897,9897
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,TAMENGLONG,273,2000,2115,0,2407,2407
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,THOUBAL,276,9530,12000,8495,8644,17138
1.0-2.0,ALL SOCIAL GROUPS,MANIPUR,14,UKHRUL,279,5045,7120,0,7965,7965
0.5-1.0,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0
0.5-1.0,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,0,0,0,0,0
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,245,190,0,257,257
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,630,360,49,331,380
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,160,80,38,73,110
0.5-1.0,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0
0.5-1.0,OTHERS,MANIPUR,14,BISHNUPUR,275,2905,2245,750,2333,3083
0.5-1.0,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0
0.5-1.0,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
0.5-1.0,OTHERS,MANIPUR,14,IMPHAL EAST,278,5855,4285,369,6484,6853
0.5-1.0,OTHERS,MANIPUR,14,IMPHAL WEST,277,7935,4720,265,4997,5262
0.5-1.0,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0
0.5-1.0,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
0.5-1.0,OTHERS,MANIPUR,14,THOUBAL,276,11380,6935,4590,5794,10384
0.5-1.0,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,30,15,4,16,20
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,1145,775,0,974,974
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,5270,3265,0,4508,4508
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,550,385,0,522,522
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,55,35,1,50,51
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,7290,4775,0,6771,6771
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,580,310,0,366,366
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,30,15,8,15,22
0.5-1.0,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,3500,2540,0,3973,3973
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,BISHNUPUR,275,3180,2450,754,2606,3360
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,CHANDEL,280,1145,775,0,974,974
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,CHURACHANDPUR,274,5270,3265,0,4508,4508
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL EAST,278,6405,4670,369,7006,7374
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL WEST,277,8620,5115,314,5379,5693
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,SENAPATI,272,7290,4775,0,6771,6771
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,TAMENGLONG,273,580,310,0,366,366
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,THOUBAL,276,11570,7030,4636,5881,10517
0.5-1.0,ALL SOCIAL GROUPS,MANIPUR,14,UKHRUL,279,3500,2540,0,3973,3973
3.0-4.0,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,SENAPATI,272,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,THOUBAL,276,0,0,0,0,0
3.0-4.0,INSTITUTIONAL,MANIPUR,14,UKHRUL,279,0,0,0,0,0
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,BISHNUPUR,275,30,90,0,98,98
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,CHANDEL,280,0,0,0,0,0
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,IMPHAL EAST,278,0,0,0,0,0
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,IMPHAL WEST,277,110,340,35,305,340
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,SENAPATI,272,0,0,0,0,0
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,THOUBAL,276,20,60,30,40,70
3.0-4.0,SCHEDULED CASTE,MANIPUR,14,UKHRUL,279,0,0,0,0,0
3.0-4.0,OTHERS,MANIPUR,14,BISHNUPUR,275,410,1340,464,1136,1601
3.0-4.0,OTHERS,MANIPUR,14,CHANDEL,280,0,0,0,0,0
3.0-4.0,OTHERS,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
3.0-4.0,OTHERS,MANIPUR,14,IMPHAL EAST,278,285,920,98,948,1046
3.0-4.0,OTHERS,MANIPUR,14,IMPHAL WEST,277,595,1860,101,1805,1906
3.0-4.0,OTHERS,MANIPUR,14,SENAPATI,272,0,0,0,0,0
3.0-4.0,OTHERS,MANIPUR,14,TAMENGLONG,273,0,0,0,0,0
3.0-4.0,OTHERS,MANIPUR,14,THOUBAL,276,910,3070,2240,1610,3849
3.0-4.0,OTHERS,MANIPUR,14,UKHRUL,279,0,0,0,0,0
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,CHANDEL,280,355,1225,0,1249,1249
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,CHURACHANDPUR,274,170,530,0,535,535
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,IMPHAL EAST,278,50,170,0,199,199
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,IMPHAL WEST,277,0,0,0,0,0
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,SENAPATI,272,630,1945,0,2186,2186
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,TAMENGLONG,273,1540,5030,0,5275,5275
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,THOUBAL,276,0,0,0,0,0
3.0-4.0,SCHEDULED TRIBES,MANIPUR,14,UKHRUL,279,300,990,0,1016,1016
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,BISHNUPUR,275,440,1430,464,1234,1698
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,CHANDEL,280,355,1225,0,1249,1249
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,CHURACHANDPUR,274,170,530,0,535,535
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL EAST,278,335,1090,98,1148,1246
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,IMPHAL WEST,277,705,2200,136,2110,2246
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,SENAPATI,272,630,1945,0,2186,2186
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,TAMENGLONG,273,1540,5030,0,5275,5275
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,THOUBAL,276,930,3130,2270,1650,3919
3.0-4.0,ALL SOCIAL GROUPS,MANIPUR,14,UKHRUL,279,300,990,0,1016,1016
2.0-3.0,INSTITUTIONAL,MANIPUR,14,BISHNUPUR,275,0,0,0,0,0
2.0-3.0,INSTITUTIONAL,MANIPUR,14,CHANDEL,280,0,0,0,0,0
2.0-3.0,INSTITUTIONAL,MANIPUR,14,CHURACHANDPUR,274,0,0,0,0,0
